"value","timestamp"
-13434.3,"2009-10-10 17:39:36.904000000"
-13012.3,"2009-10-10 17:39:52.904000000"
-12608.2,"2009-10-10 17:40:08.904000000"
-12174.3,"2009-10-10 17:40:24.904000000"
-11731.6,"2009-10-10 17:40:40.904000000"
-11336.4,"2009-10-10 17:40:56.904000000"
-10932.2,"2009-10-10 17:41:12.904000000"
-10516.2,"2009-10-10 17:41:28.904000000"
-10100.2,"2009-10-10 17:41:44.905000000"
-9687.18,"2009-10-10 17:42:00.904000000"
-9220.65,"2009-10-10 17:42:16.904000000"
-8798.69,"2009-10-10 17:42:32.904000000"
-8364.85,"2009-10-10 17:42:48.904000000"
-7984.49,"2009-10-10 17:43:04.905000000"
-7583.34,"2009-10-10 17:43:20.904000000"
-7176.24,"2009-10-10 17:43:36.904000000"
-6721.59,"2009-10-10 17:43:52.904000000"
-6317.47,"2009-10-10 17:44:08.904000000"
-5877.68,"2009-10-10 17:44:24.905000000"
-5434.92,"2009-10-10 17:44:40.904000000"
-4980.28,"2009-10-10 17:44:56.904000000"
-4531.58,"2009-10-10 17:45:12.904000000"
-4073.96,"2009-10-10 17:45:28.904000000"
-3604.46,"2009-10-10 17:45:44.905000000"
-3126.05,"2009-10-10 17:46:00.904000000"
-2662.49,"2009-10-10 17:46:16.904000000"
-2184.07,"2009-10-10 17:46:32.904000000"
-1681.88,"2009-10-10 17:46:48.904000000"
-1144.04,"2009-10-10 17:47:04.905000000"
-618.078,"2009-10-10 17:47:20.904000000"
-83.2028,"2009-10-10 17:47:36.904000000"
487.345,"2009-10-10 17:47:52.904000000"
1048.98,"2009-10-10 17:48:08.904000000"
1637.36,"2009-10-10 17:48:24.905000000"
2234.66,"2009-10-10 17:48:40.904000000"
2826.01,"2009-10-10 17:48:56.904000000"
3458.96,"2009-10-10 17:49:12.904000000"
4112.72,"2009-10-10 17:49:28.904000000"
4727.84,"2009-10-10 17:49:44.905000000"
5396.46,"2009-10-10 17:50:00.904000000"
6065.07,"2009-10-10 17:50:16.904000000"
6709.91,"2009-10-10 17:50:32.904000000"
7399.33,"2009-10-10 17:50:48.904000000"
8059.03,"2009-10-10 17:51:04.905000000"
8736.56,"2009-10-10 17:51:20.904000000"
9405.17,"2009-10-10 17:51:36.904000000"
10073.8,"2009-10-10 17:51:52.904000000"
10778.1,"2009-10-10 17:52:08.904000000"
11443.7,"2009-10-10 17:52:24.905000000"
12115.3,"2009-10-10 17:52:40.904000000"
12804.7,"2009-10-10 17:52:56.904000000"
13437.7,"2009-10-10 17:53:12.904000000"
14073.6,"2009-10-10 17:53:28.904000000"
14697.6,"2009-10-10 17:53:44.905000000"
15309.8,"2009-10-10 17:54:00.904000000"
15895.2,"2009-10-10 17:54:16.904000000"
16447.9,"2009-10-10 17:54:32.904000000"
17000.6,"2009-10-10 17:54:48.904000000"
17538.5,"2009-10-10 17:55:04.905000000"
18037.7,"2009-10-10 17:55:20.904000000"
18510.2,"2009-10-10 17:55:36.904000000"
18982.7,"2009-10-10 17:55:52.904000000"
19404.7,"2009-10-10 17:56:08.904000000"
19826.6,"2009-10-10 17:56:24.905000000"
20198.1,"2009-10-10 17:56:40.904000000"
20563.6,"2009-10-10 17:56:56.904000000"
20902.4,"2009-10-10 17:57:12.904000000"
21217.4,"2009-10-10 17:57:28.904000000"
21514.5,"2009-10-10 17:57:44.905000000"
